#{"t_start": 1768050674.0728588, "env_id": "None"}
r,l,t
-1338.82,80,104.931887
-704.4659,71,105.039429
-1148.775,78,105.173183
-222.6604,65,105.282665
-528.5088,68,105.398625
-726.3756,72,105.524893
-561.0383,68,105.641395
-765.4922,72,105.767195
-671.4062,70,105.870618
-541.539,68,106.003818
-694.1184,71,106.115894
-549.9858,68,106.217154
-336.7267,66,106.328819
-594.5908,69,106.435018
-762.8594,72,106.546681
-1000.7012,76,106.676223
-127.8497,63,106.795155
-544.6223,68,106.939245
-1223.3245,78,107.073199
-345.0191,66,107.192934
-463.7974,67,107.312891
-580.8317,69,107.438741
-684.8967,70,107.536728
-322.4769,66,107.660634
-336.2868,65,107.794323
-878.8107,73,107.926015
-671.2683,70,108.039355
-626.2341,70,108.158546
-508.178,68,108.250802
-519.4874,68,108.346451
-811.7456,73,108.446836
-370.7672,67,108.540391
-853.0188,73,108.646192
-695.288,71,108.745573
-662.4711,70,108.840703
-727.5545,71,108.940486
-596.3094,68,109.036218
-852.7355,73,109.132986
-457.7176,67,109.223821
-320.1155,66,109.311204
-854.3842,73,109.40504
-167.6086,64,109.486778
-644.2723,70,109.578744
-878.8518,73,109.674931
-813.1067,73,109.776888
-1143.9294,78,109.887838
-436.5668,67,109.982842
-1043.8593,76,110.078673
-846.7949,73,110.174703
-288.4187,65,119.264882
-306.8606,65,119.350854
-402.3124,67,119.445852
-132.9213,63,119.533808
-227.2746,65,119.624009
-367.78,66,119.718732
-124.1472,63,119.805114
-439.6916,67,119.897528
-694.5825,71,119.996624
-454.4505,67,120.089568
-663.8044,70,120.182102
-586.8041,68,120.273948
-406.5406,67,120.368905
135.2098,60,120.451046
-97.2885,63,120.537788
-227.0028,64,120.626923
-435.2904,67,120.720069
-853.8253,73,120.830361
-306.0013,65,120.918679
-529.0615,68,121.012977
-489.4686,68,121.105036
-369.7856,67,121.191737
-823.5789,73,121.290501
-313.8274,65,121.375936
-759.8223,72,121.468829
-304.9661,65,121.556045
-529.7477,68,121.64417
-639.3287,69,121.735719
-472.5595,68,121.849468
-662.6862,70,121.980738
-706.8525,71,122.087802
-579.6876,69,122.184092
-342.3604,66,122.277941
-579.0966,69,122.389758
-518.7501,68,122.499857
-815.0789,73,122.611032
-216.6784,64,122.725142
-692.1208,71,122.837638
-760.3628,72,122.968798
-227.8356,64,123.0698
-182.8832,64,123.156881
-886.0757,73,123.255375
-253.4673,65,123.360152
-576.3604,68,123.466734
-251.9149,65,123.582981
-490.9635,68,123.678573
-179.0787,63,123.769987
-556.1973,68,123.862747
3.2559,61,123.944757
-795.1546,73,124.065878
-553.4514,68,124.15898
-639.6595,70,124.254055
-501.8332,68,124.344497
-321.3088,66,124.434854
-148.2109,63,124.524115
-148.2627,63,124.60941
-182.9191,64,124.696943
-287.7422,65,124.788724
-473.1602,68,124.881681
-595.1296,69,125.006196
-645.5623,70,125.102631
-594.037,69,125.197845
-575.1616,68,125.294723
-538.9404,68,125.39105
-328.3123,66,125.501044
-656.2367,70,125.595345
-528.1202,68,125.684811
-434.9883,67,125.781271
-299.5876,65,125.883889
-405.138,67,125.986868
-383.7171,66,126.097106
-632.5444,70,126.225651
-493.1116,68,126.334831
-305.5136,65,126.446561
-525.2823,68,126.565734
-101.9014,63,126.67705
-861.5747,73,126.798019
-493.394,68,126.910956
-459.0111,67,127.021554
-839.4973,73,127.148442
-182.8489,64,127.256779
-474.9887,68,127.366822
-269.7184,65,127.476372
-391.3342,67,127.591625
-539.8062,68,127.7059
-135.2468,63,127.821595
-378.3647,67,127.942275
-388.5951,67,128.061754
-314.7119,65,128.168886
-693.9278,71,128.299958
-288.5975,65,128.408656
-253.1286,65,128.512844
-485.2727,67,128.62059
-503.881,68,128.734973
-402.0794,67,128.848869
-881.7042,73,128.97499
-627.8288,70,129.086483
-96.9552,63,129.190304
-708.4641,71,129.313078
-845.2608,73,129.428863
-503.9862,68,129.54373
-666.2126,70,129.655665
-432.0407,67,129.772611
-476.76,68,129.883717
-202.1089,64,129.986465
-415.2343,67,130.085224
-648.3683,70,130.184841
-406.0646,67,130.273742
-485.862,68,130.365709
-323.556,66,130.456981
-590.329,69,130.549037
-544.3386,68,130.648684
-644.0756,70,130.743433
-231.0398,64,130.825894
-550.3384,68,130.91852
-506.2911,68,131.007589
-399.9762,67,131.108869
-555.4517,68,131.203413
-624.9454,70,131.299613
-418.8591,67,131.388916
-352.0953,66,131.482728
-422.2879,67,131.587053
-247.9553,65,131.675036
-651.7639,70,131.783749
-745.5016,72,131.900907
-402.674,67,132.032657
-273.9052,65,132.140337
-523.7817,68,132.23749
-276.3626,65,132.336654
-625.6804,69,132.432925
-335.8333,66,132.529683
-213.8527,64,132.624869
-144.7582,63,132.72894
-531.9646,68,132.825947
-337.9597,66,132.920885
-555.9034,68,133.018798
-492.5098,68,133.115137
-360.6769,66,133.20785
-843.4054,73,133.350958
-612.8277,69,133.530776
-83.3879,63,133.649908
-660.1487,70,133.775501
-206.897,64,133.870898
-579.9961,68,133.961776
-697.2732,70,134.056567
-335.1472,66,134.137833
-770.2855,72,134.22862
-228.2287,64,134.311787
-138.1157,63,134.391344
-880.5077,73,134.482144
-270.8466,65,134.565944
-846.2726,73,134.664813
-585.7575,68,134.757629
-525.6628,68,134.858657
-512.4324,68,134.961845
-427.0546,67,135.050483
-546.955,68,135.144485
-369.2654,66,135.244699
-338.9932,66,135.337088
-122.3704,63,135.421569
-655.0408,70,135.524287
-200.619,64,135.677017
-315.0733,65,135.766231
-647.9839,70,135.871092
-450.6834,67,135.993618
-623.1507,70,136.087539
-547.5746,68,136.17857
-138.1724,63,136.264687
-338.8422,66,136.347462
-492.9645,68,136.43173
-425.0028,67,136.515941
-391.6346,67,136.599977
14.106,61,136.685767
-525.967,68,136.773719
62.9857,60,136.84926
-301.8698,65,136.93359
-739.5566,71,137.042508
-461.5863,67,137.142529
-562.9655,68,137.235064
-17.4456,62,137.321489
-336.1829,65,137.406621
-333.8665,66,137.489685
-284.5128,65,137.583844
-299.9016,65,137.691449
-690.4475,71,137.796087
-319.1546,65,137.891751
-644.9987,70,138.004566
-279.2921,65,138.100007
-178.8401,63,138.192079
-341.2006,66,138.282013
-641.9186,69,138.371996
-96.417,63,148.377696
-290.4155,65,148.492913
-286.8794,65,148.604155
132.3523,60,148.707979
-714.2094,71,148.820025
53.6747,60,148.917701
-376.9999,67,149.013768
-404.6381,67,149.104491
-235.5744,65,149.204747
-342.572,66,149.304645
-338.4301,66,149.414965
-376.5637,67,149.523126
-389.7525,67,149.624419
-319.245,66,149.770348
-99.8321,63,149.918976
-220.7471,65,150.047137
-391.8827,67,150.149203
-127.79,63,150.237751
-288.0853,65,150.328318
18.9058,61,150.430942
-10.8412,61,150.541749
-66.8657,62,150.628825
-323.1664,66,150.729417
-136.3871,63,150.823196
-22.0598,62,150.904281
68.8299,60,150.989364
-51.6958,62,151.073117
-151.0999,63,151.164489
-119.1735,63,151.272179
119.2551,60,151.366254
-252.8116,65,151.454511
-390.4721,66,151.553338
4.7123,61,151.701763
-436.9737,67,151.816005
-475.4513,68,151.93285
-200.0763,64,152.052026
-595.2765,69,152.205112
-323.0403,66,152.346556
-326.5919,66,152.469921
-96.2115,63,152.589552
-81.2904,62,152.718266
-319.0965,65,152.868354
-406.983,67,153.005033
184.7959,59,153.168029
-47.0619,62,153.299639
-473.8315,67,153.396015
-481.16,68,153.499506
-99.7216,63,153.588045
-440.2557,67,153.682005
18.879,61,153.791322
-320.8487,65,153.906183
-645.9721,70,154.028682
-186.0985,64,154.128516
